日期,eta_cos,eta_sb,eta_trunc,eta,p_mw,q
1 月 21 日,0.719935764230188,0.912385100286533,0.9452460360864088,0.5380211328666478,29.464214685025308,0.46902602172915164
2 月 21 日,0.7404403532037784,0.9310624641833811,0.939129805376744,0.5650769539516517,33.47344141409458,0.532846886566294
3 月 21 日,0.7611400153929363,0.9347438395415473,0.9369595126056405,0.5843350938847023,36.51655221732777,0.5812886376524636
4 月 21 日,0.7793399687370515,0.935731805157593,0.9369894494720207,0.6013472937054589,38.88010117584924,0.6189127853525827
5 月 21 日,0.7893169789883201,0.9367805157593123,0.9381881689149842,0.6120478621617489,40.17642324282934,0.6395482846677705
6 月 21 日,0.7923588160987859,0.9368458452722063,0.9388559765143185,0.6153473582471412,40.56428095451351,0.6457223966016159
7 月 21 日,0.7892118485227697,0.9367896848137537,0.9381713969888509,0.6119462329812559,40.16374344567477,0.6393464413510788
8 月 21 日,0.77863694634725,0.9356893982808023,0.9369478534623052,0.6006546677502507,38.7907581084178,0.6174905779754505
9 月 21 日,0.7600919805120643,0.9346796561604584,0.9370190186971227,0.5834098453484813,36.37608738858062,0.5790526486561705
10 月 21 日,0.7378354064925949,0.929621776504298,0.9397834470978808,0.5623069198508632,33.034675137067524,0.5258623867728035
11 月 21 日,0.7181956127447962,0.9105444126074499,0.9454271485134585,0.5354448199154254,29.07647148486951,0.46285373264676083
12 月 21 日,0.7110822833457547,0.8987232091690543,0.9466433527331709,0.5220391797486796,27.291597831061285,0.4344412262187406
