月份,eta_cos,eta_sb,eta_trunc,eta,p_mw,q
1,0.7693853625925753,0.7969800336107554,0.9447308251000415,0.4952246527739925,51.293879376560724,0.4325830303922885
2,0.7815023841740795,0.8231414052496799,0.9398745194069026,0.5214609805324223,58.368379286622215,0.4922452873087114
3,0.79191128084161,0.8434899167733676,0.9334891883859499,0.5421670985891425,63.95381520065041,0.5393496362703992
4,0.7983851957559434,0.8477502800896287,0.9319111916458688,0.5518717168236369,67.34656534028183,0.5679621365258639
5,0.7996687354269345,0.8497559218950064,0.9321941705873111,0.5565118200534771,68.94977489134813,0.5814826823372427
6,0.7993775908630317,0.8503441101152369,0.9325505319558252,0.5577076488784115,69.39139179072059,0.5852070248694294
7,0.7996708952904621,0.8497049055697824,0.93218972777495,0.556445872267382,68.93132010418798,0.5813270452933689
8,0.7982113932097337,0.8476882602432779,0.9319124493027318,0.5515600305231325,67.23134115075877,0.5669904020872876
9,0.7914446189062747,0.8430557778489117,0.9336807156862935,0.541485480627437,63.72935839324691,0.5374566968569855
10,0.7800463299518784,0.8191641325224073,0.9409551641869107,0.5177243395996449,57.48797059264412,0.48482042755051585
11,0.7682950606623938,0.7940931097951343,0.9454585399499896,0.49261760683420086,50.58838177414242,0.4266332700213063
12,0.7637509912101547,0.7785011203585148,0.9488162088547998,0.47992355872849,47.40162154094678,0.3997579699745068
