日期,eta_cos,eta_sb,eta_trunc,eta,p_mw,q
1 月 21 日,0.7660605951435682,0.8049898126848504,0.9438507713877426,0.4983383796693106,50.27618499195438,0.43528661740518576
2 月 21 日,0.7787346823650946,0.8307104830759119,0.938970406912228,0.5243609460979566,57.171075002977446,0.49498194533747253
3 月 21 日,0.7898374244506882,0.8509674663161354,0.9323265560447629,0.5452768144828724,62.65300125048392,0.5424439620661415
4 月 21 日,0.7971146195190761,0.8549194873480118,0.9306054476991157,0.5551209905957387,65.98687126972166,0.5713083041751299
5 月 21 日,0.7990018773716441,0.8561741702267499,0.9308122060757478,0.5595376544105836,67.52745419558595,0.5846465304295477
6 月 21 日,0.7989440077944894,0.8566132106473875,0.9310895787952035,0.5607100968372029,67.95615183717265,0.5883581554529205
7 月 21 日,0.7989965447392329,0.8561675977653632,0.9308124466950586,0.559503972914331,67.51329529780223,0.5845239439858181
8 月 21 日,0.7969042871349982,0.8548307591192902,0.9306293775152188,0.5547882658429022,65.8715623503293,0.5703099700834128
9 月 21 日,0.7893312777392072,0.8505461715412423,0.9325290247093221,0.5445853251306849,62.43301276592935,0.5405393218607406
10 月 21 日,0.7772018563478322,0.8285336838646072,0.939804968598285,0.5219544351812353,56.4448997616977,0.48869478642772957
11 月 21 日,0.7649274721383537,0.8020782122905027,0.9444865220048794,0.49568076527603805,49.586731587680426,0.42931739280604553
12 月 21 日,0.7602145984599155,0.7880440354912915,0.9475528727642735,0.4836500144677668,46.523260871123156,0.4027941431612395
