月份,时刻,DNI,eta_cos,eta_sb,eta_trunc,eta,p_mw,q
1,9.0,0.7925396841601171,0.7024362414633658,0.8827277936962752,0.9529011356086364,0.5069844229021282,25.241407337867802,0.40180527440095193
1,10.5,0.9100911454852126,0.7285806317918258,0.9298968481375358,0.9407448676025318,0.5543654245442579,31.69413889561207,0.5045230642408799
1,12.0,0.9391840362887128,0.7376450687803956,0.9334269340974213,0.9387235516389887,0.5634156360627355,33.24126400987766,0.5291509711855724
1,13.5,0.9100911454852126,0.7285806332659797,0.9311060171919769,0.9405277850589597,0.5557262125756318,31.77193776791604,0.5057615053791156
1,15.0,0.7925396841601171,0.7024362458493735,0.8847679083094556,0.9533328405229267,0.5096139682484851,25.372325413852952,0.40388929343923835
2,9.0,0.8875714408097994,0.7224441368523336,0.9227621776504297,0.9421457032221076,0.5459386979987289,30.440033869503356,0.48455959677655774
2,10.5,0.9708000370097122,0.7493379441013761,0.933621776504298,0.9376331265003834,0.5728324694906608,34.93456526179486,0.5561057825818984
2,12.0,0.9921771917861091,0.7586375961506564,0.9374957020057307,0.9360630006119403,0.5827457135052052,36.321707688713005,0.578187005550987
2,13.5,0.9708000370097122,0.7493379462981539,0.9361661891117479,0.9373775724643387,0.5751509552944288,35.0759596448547,0.5583565686860029
2,15.0,0.8875714408097994,0.7224441426163722,0.9252664756446991,0.9424296240849493,0.5487169334692348,30.594940605607,0.4870254792360236
3,9.0,0.9548220128815966,0.7431561030139224,0.9297593123209168,0.9390971155556584,0.5665856803130265,33.984896297667134,0.5409884797463727
3,10.5,1.0147803402321796,0.770035352807739,0.9356905444126076,0.9356500213663501,0.591304251820367,37.69475967273767,0.6000439298430065
3,12.0,1.030801341050838,0.779317155922753,0.9392378223495702,0.9356796210186298,0.6020130186518479,38.9833170494003,0.6205558269563881
3,13.5,1.0147803402321796,0.770035355571792,0.9377249283667621,0.9354733102039255,0.593228305917547,37.817415237224594,0.601996422114368
3,15.0,0.9548220128815966,0.7431561096484751,0.9313065902578798,0.9388974948836388,0.5685442127207228,34.102372829609145,0.5428585296021831
4,9.0,0.9992774792374354,0.7620274592595899,0.9320114613180516,0.9367388912086483,0.5832187522232869,36.61133044201656,0.5827973645656886
4,10.5,1.0440430323468193,0.7879034843255511,0.9371174785100287,0.9365944495697243,0.6090597547039914,39.94627014366592,0.6358845931815651
4,12.0,1.0564526886101677,0.7968379466321319,0.9387106017191977,0.9384496572242992,0.619596035170255,41.120332222594996,0.6545738972078159
4,13.5,1.0440430323468193,0.7879034873777981,0.9379140401146131,0.9364952334648918,0.6100551882291103,40.01155742655951,0.63692386861763
4,15.0,0.9992774792374354,0.7620274660901867,0.9329054441260746,0.9366690158925399,0.5848067382006509,36.7110156444092,0.5843842031902133
5,9.0,1.0199091178996695,0.7728867911346117,0.9334498567335243,0.9360832986457457,0.5933046397782982,38.01343811740574,0.6051168118020653
5,10.5,1.05724714116401,0.797442547288128,0.9381146131805159,0.9384970625177713,0.6200037974244643,41.178336763663424,0.655497242337845
5,12.0,1.067847324679981,0.805926208466293,0.938733524355301,0.9418120439636347,0.6308105819559245,42.31614202563386,0.6736093923214559
5,13.5,1.05724714116401,0.7974425503494731,0.9389054441260746,0.9384402630769394,0.6209702853479698,41.24252728210451,0.6565190589319407
5,15.0,1.0199091178996695,0.7728867977030945,0.9346991404011461,0.9361081763708307,0.5951500063020878,38.13167202533915,0.6069989179455452
6,9.0,1.0258814453378144,0.7763468612676606,0.9335702005730658,0.936150684439589,0.5965004599198991,38.441992524225604,0.6119387539672971
6,10.5,1.0608998716279543,0.8002766854595714,0.9379656160458453,0.9393958496726781,0.6231926846538641,41.5331313593254,0.6611450391487648
6,12.0,1.070928078720152,0.8085469776207052,0.9382808022922637,0.9432142970314049,0.6339727443205352,42.65096136292987,0.6789392130361329
6,13.5,1.0608998716279543,0.8002766884842225,0.9389742120343839,0.9393454527941928,0.6243350752004656,41.60926681117526,0.6623570011330031
6,15.0,1.0258814453378144,0.7763468676617697,0.9354383954154729,0.9361735986337275,0.5987358271409418,38.586052714911396,0.6142319757228812
7,9.0,1.0197008955484417,0.7727689180760932,0.9334555873925501,0.93609208109668,0.5932106879216187,37.999659047972585,0.6048974697225817
7,10.5,1.0571176853203668,0.797343744545537,0.9381432664756448,0.9384548377892428,0.6199036021989587,41.166640856940106,0.6553110610783206
7,12.0,1.067737230730951,0.8058339077349466,0.938733524355301,0.9417933674836849,0.6307073646219492,42.30485594660999,0.6734297349030562
7,13.5,1.0571176853203668,0.7973437476077111,0.9388882521489972,0.9384042741534224,0.6208422682220301,41.228975915035136,0.6563033415319188
7,15.0,1.0197008955484417,0.7727689246495608,0.9347277936962751,0.9361124244212246,0.5950672419417234,38.11858546181603,0.6067905995195165
8,9.0,0.9977427318250117,0.7612808223651801,0.9318853868194842,0.9368435589729673,0.5825496640813949,36.51316343086419,0.5812346932643138
8,10.5,1.0430419872496848,0.78722208931519,0.9371174785100287,0.9364804236467065,0.6083617006856358,39.862229803228885,0.6345467972497434
8,12.0,1.0555804546135885,0.7961788984925836,0.9387908309455588,0.9382631585957413,0.6189082729773576,41.040775651966015,0.6533074761535501
8,13.5,1.0430419872496848,0.7872220923616279,0.9379312320916906,0.936396942992991,0.6093735316750797,39.9285289134092,0.6356021794557338
8,15.0,0.9977427318250117,0.7612808292016686,0.9327220630372492,0.9367551831031206,0.5840801693317854,36.60909274262069,0.582761743753911
9,9.0,0.951910281491356,0.7420918544863451,0.9295702005730658,0.9392457770305461,0.5656334267670461,33.82431548375951,0.5384322744947392
9,10.5,1.0128606871270214,0.7689952272370965,0.935753581661891,0.9356857479679692,0.5904432564746616,37.5686694178906,0.5980367624624419
9,12.0,1.029113867315742,0.7782857297680715,0.9391518624641835,0.9356307750747627,0.6010089114399324,38.85458493509414,0.6185066051431731
9,13.5,1.0128606871270214,0.7689952299775276,0.937810888252149,0.9355108414379364,0.5923880782947575,37.69241436244653,0.6000065960274837
9,15.0,0.951910281491356,0.7420918610912809,0.9311117478510028,0.9390219519743989,0.5675755537660092,33.94045274371235,0.5402810051530141
10,9.0,0.8773667250613626,0.719877277873434,0.9201776504297995,0.943484666876662,0.5427577438074974,29.91473223856942,0.476197584186078
10,10.5,0.9642046537630655,0.7467134392688765,0.9330945558739255,0.9380522944202275,0.5705268371375017,34.55757294861257,0.5501046314647018
10,12.0,0.9863991872887538,0.755995590450285,0.9370085959885387,0.9363567731670238,0.5802335859165478,35.95452051913506,0.572341937585722
10,13.5,0.9642046537630655,0.7467134413813661,0.9359426934097422,0.9376792335936921,0.572991151656849,34.70683977223465,0.5524807349925923
10,15.0,0.8773667250613626,0.7198772834890129,0.9218853868194843,0.9433442674317981,0.5450252807359198,30.03971020678591,0.4781870456349237
11,9.0,0.7826585293571621,0.7007578214209315,0.8796733524355302,0.9537757092237712,0.5036880281028238,24.764632242135836,0.39421573132976495
11,10.5,0.9038461636315565,0.7268092016288019,0.9290773638968481,0.9410087741354064,0.5524315779585903,31.36685286239511,0.49931316240679896
11,12.0,0.9337570792998366,0.7358440119692825,0.9327736389684814,0.9389989340615149,0.5615907813887565,32.9421400846481,0.5243893677912783
11,13.5,0.9038461636315565,0.726809203036237,0.9302865329512894,0.940808346480506,0.5537937788848363,31.444198107901293,0.5005443824880818
11,15.0,0.7826585293571621,0.7007578256687279,0.8809111747851003,0.9525439786660943,0.5057199332421201,24.864534127267213,0.39580601921787983
12,9.0,0.738621609586637,0.693926729281709,0.8571404011461319,0.953123412163306,0.48202825596430404,22.366212068523815,0.3560364862865937
12,10.5,0.8760418877074063,0.7195529827960064,0.9220057306590258,0.9434448596028387,0.5432744088135439,29.897994129373735,0.47593113864014225
12,12.0,0.909644265976888,0.7284519877952695,0.9306361031518625,0.939619171446665,0.5543880668780536,31.679870081473787,0.504295926161633
12,13.5,0.8760418877074063,0.7195529839240626,0.9229226361031518,0.9430794155150174,0.544236962889087,29.950966321019273,0.4767743763295013
12,15.0,0.738621609586637,0.6939267329317259,0.8609111747851003,0.9539499049380272,0.48626820419840966,22.56294655491582,0.35916820367583285
